,timestamp,address,crew_lead,time_start,time_end,num_ppl,work_completed,time_spent_prepping,job_difficulty,notes,dog_lines,,fix_notes,sprinklers_unfixed,sprinklers_hit,job_finished
83,2020-06-02 15:42:36,276 woodsfield ct,Conner,2020-08-01 13:30:00,2020-08-01 03:30:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
84,2020-06-03 09:34:05,397 nathan dr,Conner,2020-08-01 08:27:00,2020-08-01 09:30:00,4,Cutting and Prepping,0,1,Shallow dog wire back right of house,FALSE,,,0,0,TRUE
85,2020-06-03 12:37:13,7041 willow run dr,Conner,2020-08-01 22:00:00,2020-08-01 12:35:00,4,Cutting and Prepping,1,2,Shallow beds,FALSE,,,0,0,TRUE
87,2020-06-03 15:45:59,872 blackmore dr,Conner,2020-08-01 13:48:00,2020-08-01 03:40:00,4,Cutting and Prepping,0,2,,FALSE,,,0,0,TRUE
90,2020-06-04 10:25:28,7545 mill road,Conner,2020-08-01 08:41:00,2020-08-01 10:20:00,4,Cutting and Prepping,2,3,,FALSE,,,0,0,TRUE
93,2020-06-05 12:14:05,1350 white oak dr,Conner,2020-08-01 08:40:00,2020-08-01 11:10:00,4,Cutting and Prepping,2,2,,FALSE,,"4” thin wall pvc downstream pipe clipped on right side of house. The hole has been dug, cracked pvc cut and rubber fittings put in just needs new pvc section",0,0,TRUE
94,2020-06-05 12:37:10,2409 tripple crown,Conner,2020-08-01 11:30:00,2020-08-01 12:35:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
95,2020-06-05 13:23:46,2573 friesian lane,Conner,2020-08-01 12:40:00,2020-08-01 13:23:00,4,Cutting and Prepping,1,2,Big ant hill u fee one of the trees in the back,FALSE,,,0,0,TRUE
97,2020-06-08 10:13:45,1560 london dr,Conner,2020-08-01 08:52:00,2020-08-01 10:10:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
98,2020-06-08 12:01:43,1161 bean oller road,Conner,2020-08-01 10:55:00,2020-08-01 12:00:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
100,2020-06-08 15:03:46,2486 pimlico court,Conner,2020-08-01 13:20:00,2020-08-01 14:42:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
102,2020-06-08 16:36:09,9262 golden rose way,Conner,2020-08-01 15:05:00,2020-08-01 16:20:00,4,Cutting and Prepping,0,1,,"True, Multiple Spots",,Fixed one dog line of right side bed and one on right side still needs fixed ,0,0,TRUE
104,2020-06-09 10:22:22,4504 menderes drive,Conner,2020-08-01 08:30:00,2020-08-01 10:22:00,4,Cutting and Prepping,1,2,,FALSE,,,0,0,TRUE
105,2020-06-09 13:15:00,other address,Conner,2020-08-01 10:20:00,2020-08-01 12:20:00,4,Cutting and Prepping,1,1,,"True, Single Spot",,"3” thin walls down spout hit back left side of house, cable line but next to downspout and dog line hit right side of house near electric box. Dog line fixed, cable and downspout not fixed",0,0,TRUE
106,2020-06-09 15:27:33,6744 baronet blvd,Conner,2020-08-01 13:40:00,2020-08-01 14:30:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
107,2020-06-09 15:28:24,6595 scioto chase blvd,Conner,2020-08-01 14:50:00,2020-08-01 15:25:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
108,2020-06-09 16:18:53,10418 hazelnut drive,Conner,2020-08-01 16:00:00,2020-08-01 16:18:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
109,2020-06-09 17:06:38,629 villiage park dr,Conner,2020-08-01 16:41:00,2020-08-01 17:00:00,4,,,,,,,,,,FALSE
111,2020-06-10 09:09:33,5975 griffiths ln,Conner,2020-08-01 08:40:00,2020-08-01 09:05:00,4,Cutting Edge,0,1,,FALSE,,,0,0,TRUE
112,2020-06-10 10:21:44,629 villiage park dr,Conner,2020-08-01 21:30:00,2020-08-01 10:20:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
113,2020-06-10 12:05:15,4289 hickory rock dr,Conner,2020-08-01 22:39:00,2020-08-01 12:04:00,4,Cutting and Prepping,0,1,,FALSE,,Dog line hit in 2 places but fixed. Exterior lighting cables also hit but also fixed,0,0,TRUE
115,2020-06-10 13:57:55,3951 hickory rock dr,Conner,2020-08-01 12:50:00,2020-08-01 13:57:00,4,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
117,2020-06-11 09:43:05,2524 dauer ct,Conner,2020-08-01 08:40:00,2020-08-01 09:40:00,3,Cutting and Prepping,0,1,Shallow cable line and downspout pipe on left side of house. Was marked this time,FALSE,,,0,0,TRUE
119,2020-06-11 12:25:59,8767 filiz lane,Conner,2020-08-01 10:40:00,2020-08-01 12:25:00,3,Cutting and Prepping,1,1,,FALSE,,Single dog like hit in front bed at end of drive way. Fixed and hole owner knows about it,0,0,TRUE
120,2020-06-11 14:11:37,94 ravine rd,Conner,2020-08-01 13:34:00,2020-08-01 14:10:00,3,Cutting and Prepping,0,1,Be careful of cable like and dog lines ,FALSE,,,0,0,TRUE
122,2020-06-11 15:31:42,other address,Conner,2020-08-01 14:20:00,2020-08-01 15:25:00,3,Cutting and Prepping,0,1,FALSE,FALSE,,None,0,0,TRUE
124,2020-06-12 10:20:48,8935 dunn ct,Conner,2020-08-01 08:32:00,2020-08-01 09:43:00,3,Cutting and Prepping,0,1,,FALSE,,"Dog like hit twice but fixed, cable like also hit but also fixed",0,0,TRUE
126,2020-06-12 12:05:49,144 trail edge drive,Conner,2020-08-01 10:05:00,2020-08-01 12:02:00,3,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
128,2020-06-15 10:41:25,399 wooten ct south,Conner,2020-08-01 08:54:00,2020-08-01 10:40:00,3,Cutting and Prepping,1,1,,FALSE,,,0,0,TRUE
129,2020-06-15 12:05:52,7305 new point pl,Conner,2020-08-01 10:52:00,2020-08-01 12:00:00,3,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
130,2020-06-15 14:38:55,229 leighway dr westerville,Conner,2020-08-01 13:27:00,2020-08-01 14:40:00,3,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
132,2020-06-16 09:33:11,1350 white oak dr,Conner,2020-08-01 08:35:00,2020-08-01 09:15:00,3,Cutting and Prepping,0,1,,FALSE,,,0,0,TRUE
133,2020-06-16 10:12:47,8210 glenmore dr,Conner,2020-08-01 09:31:00,2020-08-01 10:11:00,3,Prepping Job,0,1,,FALSE,,,0,0,TRUE
